Sol,0,0,0,0,0,0,0
Proxima Centauri,14,29,42.9461331854,-62,40,46.164680672,4.246274
Bernard's Star,17,57,48.49847,04,41,36.1139,5.962853
Wolf 359,10,56,28.9208702274,07,00,53.003285286,7.855885
Lalande 21185,11,03,20.1948195942,35,58,11.576182057,8.304355
Sirius,06,45,08.91728,-16,42,58.0171,8.709445
Gliese 65,01,39,01.3773,-17,57,02.587,8.869916
Ross 154,18,49,49.3637762005,-23,50,10.447375350,9.706189
Ross 248,23,41,55.0363002516,44,10,38.818911116,10.30567
Epsilon Eridani,03,32,55.8444911587,-09,27,29.739493865,10.50169
Lacaille 9352,23,05,52.0357857091,-35,51,11.055185039,10.72413
EZ Aquarii,22,38,33.576000,-15,17,59.75700,11.08943
61 Cygni,21,06,53.95,38,44,57.9,11.40418
Procyon,07,39,18.11950,05,13,29.9552,11.41559
Struve 2398,18,42,46.70439,59,37,49.4095,11.49094
Groombridge 34,00,18,22.8849799680,44,01,22.637951588,11.61912
DX Cancri,08,29,49.3527921926,26,46,33.624143059,11.67978
Epsilon Indi,22,03,21.6536261624,-56,47,09.522795714,11.867
Tau Ceti,01,44,04.0831371922,-15,56,14.927607677,11.91168
GJ 1061,03,35,59.6991613260,-44,30,45.730830569,11.98376
Ross 128,11,47,44.3972681420,00,48,16.400337591,12.22773
BY Draconis,18,33,55.7720712062,51,43,8.897780286,54.01663
