Sol,0,0,0,0,0,0,0,G2V
* b Aql,19,24,58.19997,11,56,39.88848,48.668886,G7IVHdel1
OGLE BLG-ECL-314964,18,7,9.16396,-29,29,45.04006,48.633979,
LP 299-36,3,14,12.46864,28,40,39.55048,48.630353,M6V
CD-26 16501,23,10,15.74421,-25,55,52.69999,48.606437,M2V
* alf Oph,17,34,56.06945,12,33,36.13461,48.585729,A5IVnn
LP 553-59,11,53,52.67518,6,59,56.25416,48.579289,M8V
L 119-213,22,41,58.11718,-69,10,8.32074,48.526237,
HD 150848,16,45,16.92452,-38,48,33.59686,48.511585,M0V
G 45-27,11,1,19.65849,3,0,17.21798,48.489876,M5V
SIPS J1540-2613,15,40,29.61125,-26,13,42.94721,48.481876,M7.0
CD-51 13128,21,57,41.20356,-51,0,22.23773,48.481515,M2Ve
V* CM Dra,16,34,20.33027,57,9,44.36892,48.471932,M4.5V
2MASS J22372056+7228351,22,37,20.56488,72,28,35.184,48.463001,T6
WG 39,21,57,38.35677,-51,0,31.52104,48.461273,DQ7
V* AB Dor,5,28,44.87122,-65,26,55.19915,48.439178,K0V
EGGR 258,16,34,21.55186,57,10,8.86818,48.424219,DQ8
L 358-24,23,3,35.60347,-46,50,46.9945,48.420768,M4.0V
LP 869-26,19,44,53.81318,-23,38,0.15089,48.399643,M4.5
HD 218511,23,9,40.95059,-67,43,58.15771,48.394185,K6V
WG 22,12,38,49.78112,-49,48,0.21952,48.386934,DA4.2
HD 340611,20,34,21.8847,25,3,49.75045,48.384996,DA2.4
HD 144628,16,9,42.79445,-56,26,42.54119,48.357449,K2V
UCAC4 563-099325,19,55,13.89831,22,24,58.78731,48.341107,F
HD 205390,21,36,41.24354,-50,50,43.38821,48.319264,K1V
LP 726-1,8,42,48.46483,-13,47,13.20965,48.303950,DZ10
L 125-51,2,11,18.05007,-63,13,40.92853,48.302233,M2.5V
LAWD 1,0,2,40.09479,-34,13,39.59241,48.298585,DC
Ross 136,18,22,6.67615,6,20,37.5828,48.290147,M4V
WISEP J234841.10-102844.4,23,48,41.30254,-10,28,43.25052,48.247929,T7
* psi Ser,15,44,1.81857,2,30,54.60059,48.247429,G2.5V
G 192-22,6,14,2.36168,51,40,8.07007,48.247287,M3.5V
LP 278-42,17,51,35.55568,37,49,35.27795,48.239794,M5V
G 50-6,7,51,51.38521,5,32,57.16858,48.232731,M4.5V
LP 326-21,14,44,17.17715,30,2,14.22956,48.208991,M8e
BD+33 529,2,52,7.13728,34,23,21.66827,48.194957,K5V
LP 191-43,0,8,55.16843,49,18,56.31827,48.132795,M5.5V
HD 142709,15,57,40.74402,-42,37,27.24385,48.074902,K4V
TOI-2011.01,15,21,48.14991,-48,19,3.46991,48.072493,
LP 315-42,10,11,41.57748,28,45,59.0706,48.049335,DQ
G 95-30,3,23,1.7606,42,0,26.84626,48.047423,M5V
